"Player","Rating","Games","1st","2nd","Lag"
13272915,1449.7404585923,9,0,0,4068
4330975,1449.72483938281,4,1,1,20486
5176406,1449.64225884601,11,0,0,1266
13247666,1449.63512635174,3,0,0,5391
13980837,1449.63166762109,11,0,0,22687
26642338,1449.58986221649,2,0,0,21620
25613651,1449.50830211157,4,0,0,30277
18261224,1449.50026610158,37,5,10,4507
6029569,1449.46589509456,10,2,2,107
15390110,1449.4110547062,22,0,0,21178
14243722,1449.38069297317,4,0,0,1220
11328178,1449.35706652425,44,2,1,2486
13142372,1449.31697683095,14,0,1,25039
9315612,1449.31271422146,7,0,0,1551
20062634,1449.27764421966,16,0,3,268
16245317,1449.26927986343,4,0,0,16693
17728349,1449.25256944065,2,0,0,200
12601443,1449.23786084603,2,0,0,15437
8293907,1449.21772117573,3,0,0,17598
26750880,1449.16273090933,2,0,0,20116
14599873,1449.1506875777,4,0,0,19572
8568284,1449.14768632735,14,1,6,27609
9137267,1449.12977855333,7,2,3,25534
27552332,1449.10432828216,4,0,0,25147
14823753,1449.03881988864,7,0,1,14703
16104885,1448.99971087095,12,1,0,28161
12225738,1448.99355443936,35,5,5,102
5398547,1448.85006759124,13,1,1,13572
5151731,1448.79485504412,17,1,5,9730
26627197,1448.72454965741,6,0,1,31697
14583408,1448.66703406914,8,0,0,15441
9823143,1448.63745530331,2,0,0,29913
31491343,1448.61935954607,2,0,0,194
15336128,1448.61084056815,7,0,0,23389
17425272,1448.54152617302,53,2,2,1250
4800074,1448.49593572559,94,2,4,1240
3123488,1448.47779454283,10,0,1,2220
14850418,1448.40363473565,7,1,2,22842
9364519,1448.37801212276,32,3,2,1860
27635595,1448.34869995986,4,0,0,30296
17420020,1448.34586373472,11,0,2,27025
11590645,1448.16102940987,9,1,2,13559
11884028,1448.00180073595,10,0,0,20054
1694887,1447.97248906679,28,4,8,424
9767811,1447.93067136439,6,0,1,7849
7648296,1447.89125743643,8,0,0,17809
13261219,1447.86401103512,10,0,0,3060
16800939,1447.86189848019,3,0,0,26437
29333698,1447.85826408587,6,0,0,25132
16347067,1447.7970080593,4,0,0,15280
12605230,1447.79438449996,4,0,0,21519
19225949,1447.78550916406,4,0,0,25566
5634959,1447.74424716156,2,0,0,12128
1231180,1447.69169845789,19,0,1,15341
30152989,1447.69086804046,20,8,6,13126
6995605,1447.65855703644,4,0,0,6006
6660546,1447.63304122637,10,0,0,14313
19367494,1447.63223150993,26,0,1,22446
7341081,1447.58477956819,25,1,0,14878
13963086,1447.52971080692,41,0,0,22917
11430617,1447.52568057882,2,0,0,27276
26479500,1447.46425751967,2,0,0,660
19154954,1447.4592272801,11,0,0,24861
32865519,1447.45148099026,2,0,0,14295
19969000,1447.42376612115,49,8,13,14336
21462719,1447.41702367214,6,0,0,98
1983942,1447.40335827911,15,5,4,7118
12176456,1447.40284265135,6,0,0,98
4673232,1447.38036663081,3,0,0,22941
11542817,1447.34365916993,4,0,1,22913
14380711,1447.29612413825,11,0,1,14897
14702946,1447.29031705564,2,0,0,660
15984499,1447.28643402566,98,7,2,9824
1313327,1447.28268706586,4,0,0,21847
5253195,1447.27405988088,5,1,2,26911
22224379,1447.26809384413,5,1,2,14427
11251782,1447.25626133942,6,0,0,5391
13845312,1447.21302530499,17,0,0,15829
21616010,1447.16194305711,15,0,0,2521
22588869,1447.07533518,4,0,0,29058
11037227,1447.03575664554,4,0,0,31050
12938898,1447.03490361596,3,0,0,10405
29523092,1447.0262311679,2,0,0,25135
9213524,1446.99901829041,8,0,0,1999
12072320,1446.9940110935,3,0,0,2604
26736338,1446.9773625523,23,0,2,1465
9826994,1446.93235039139,2,0,0,10915
18236973,1446.92033140986,9,1,0,14946
26942053,1446.86382101997,2,0,0,19917
6766278,1446.86330333541,3,0,0,5397
5622751,1446.78538028974,8,0,0,22623
12283995,1446.76617451975,3,0,0,5330
15040925,1446.75684748019,5,0,0,12116
22969682,1446.74980468804,2,0,0,21809
19490161,1446.70842910198,4,0,0,7863
11325354,1446.63071070172,26,0,0,12530
19266156,1446.60891440265,3,0,0,1220
13359021,1446.60138554179,24,0,1,17136
15780134,1446.57589486329,2,0,1,19402
12718783,1446.54994582507,6,0,0,12790
11759371,1446.50398105656,2,0,0,1240
19941671,1446.4925181594,9,1,1,6949
3328606,1446.49233077567,31,2,4,19715
20649107,1446.43334449949,27,0,3,3134
