"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
17496503,1431.5018367594,5,0,1,0,0,60501
24122795,1431.49143621744,18,1,0,0,0,13064
11672064,1431.43746971797,6,0,0,0,0,66784
17729686,1431.42521097489,3,0,0,0,0,358
9498216,1431.40940785186,12,0,1,0,0,209
14402460,1431.40783656211,5,0,0,0,0,52742
21244860,1431.34340745519,7,1,0,0,0,372
14396063,1431.25738428895,5,1,1,0,0,28250
1482519,1431.22148575545,24,1,1,0,0,27470
22717305,1431.20080184359,9,1,3,0,0,54189
4502522,1431.13579390829,19,0,0,0,0,40248
18163511,1431.1355219584,186,19,9,0,0,414
8423190,1431.12769519329,3,0,0,0,0,39800
23916950,1431.12009437195,3,0,0,0,0,1296
8041705,1431.11612478905,7,0,0,0,0,50157
20886222,1431.05891366072,18,1,0,0,0,35060
16020256,1431.02259668945,9,0,0,0,0,55992
14283437,1431.00331643342,4,0,1,0,0,65369
13324376,1431.0006749411,4,0,0,0,0,48702
15025648,1430.995350091,3,0,0,0,0,44909
13606756,1430.96563378998,16,0,0,0,0,37155
11641857,1430.91887719576,5,1,3,0,0,17339
10249956,1430.91794421951,5,1,2,0,0,31279
12517689,1430.91338824384,10,0,0,0,0,7718
25849153,1430.89859590613,5,0,2,0,0,4743
13095643,1430.8573758094,10,0,0,0,0,1375
17113663,1430.81085631658,14,0,1,0,0,715
18625225,1430.79786190536,6,0,0,0,0,26238
10076620,1430.78582436051,5,0,0,0,0,26524
13624832,1430.77779377973,4,0,4,0,0,130
5075812,1430.77379635986,4,0,0,0,0,66052
11236262,1430.76621494736,11,3,6,0,0,60235
9275130,1430.76497881015,4,0,0,0,0,58899
12566632,1430.74049235109,40,0,1,0,0,1153
10518528,1430.72890962207,27,3,3,0,0,45454
23009984,1430.71751454928,32,4,6,0,0,1474
14549441,1430.71681804837,3,0,0,0,0,43570
5274116,1430.70524167725,4,0,0,0,0,44026
11047297,1430.67865630606,21,0,0,0,0,34188
14013313,1430.66574044209,6,0,0,0,0,63707
12880681,1430.59632772368,5,0,0,0,0,63393
22560999,1430.57431584907,13,0,0,0,0,61267
19654216,1430.56113299319,6,0,0,0,0,6695
17639865,1430.55886150379,6,1,2,0,0,945
15255635,1430.55334086303,4,0,0,0,0,6924
12513194,1430.53365197383,6,0,0,0,0,68444
15116794,1430.3643586193,6,0,0,0,0,286
23490790,1430.34469233204,4,0,0,0,0,49171
10159139,1430.34387280823,12,0,1,0,0,59388
30485380,1430.27670316071,34,3,1,0,0,425
17010088,1430.26459820986,3,0,1,0,0,70230
