"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","Lag"
11129041,2354.25240047189,1823,134,171,0,0,0,0,0,0,0,0,188
9322480,2353.93970297234,515,37,38,0,0,0,0,0,0,0,0,917
2694475,2352.55959262493,248,35,39,0,0,0,0,0,0,0,0,9045
11919665,2352.23570268741,131,11,17,0,0,0,0,0,0,0,0,13151
9323821,2351.32972151318,1704,241,223,0,0,0,0,0,0,0,0,60
11243772,2351.05650519168,576,97,95,0,0,0,0,0,0,0,0,84
13798649,2350.9480416849,568,149,89,0,0,0,0,0,0,0,0,338
6283858,2350.90011388923,459,67,61,0,0,0,0,0,0,0,0,27
14696361,2350.87616823238,166,68,20,0,0,0,0,0,0,0,0,14159
4458239,2350.33432430074,590,29,45,0,0,0,0,0,0,0,0,15332
11388931,2349.92764866182,148,44,23,0,0,0,0,0,0,0,0,91139
12179012,2349.50640244045,119,10,14,0,0,0,0,0,0,0,0,81398
7817539,2349.48327343654,140,9,11,0,0,0,0,0,0,0,0,25683
13962152,2349.03160342212,229,37,31,0,0,0,0,0,0,0,0,3070
11405734,2348.46561871265,367,106,51,0,0,0,0,0,0,0,0,73024
3635214,2348.19732418379,371,97,42,0,0,0,0,0,0,0,0,47697
8045604,2346.70893649229,273,35,43,0,0,0,0,0,0,0,0,4747
13057699,2345.32158298067,544,100,65,0,0,0,0,0,0,0,0,15869
4384207,2344.74804589437,90,10,7,0,0,0,0,0,0,0,0,91582
2787415,2343.37891253118,359,22,18,0,0,0,0,0,0,0,0,54565
14958380,2342.7908312339,377,37,34,0,0,0,0,0,0,0,0,418
