"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","17th","18th","19th","20th","Lag"
8500628,1521.78632964088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
4284367,1521.71167316024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
18808456,1521.45327261939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
31682960,1521.4429094325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
20141370,1521.41128995271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
6578664,1521.39020720925,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
15390521,1521.34631006494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
11685498,1521.18361344538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
17467899,1521.16362331945,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
10825836,1521.07923800487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
10223298,1520.88794641098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
3481378,1520.83891722788,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
8942753,1520.82336630179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
13679658,1520.80122637434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
10516802,1520.78508054974,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
848961,1520.77099166071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
17241883,1520.64106396365,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
7351448,1520.62868299421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
12324616,1520.50440037658,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5884773,1520.22295606527,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
9735548,1520.21167316024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1285637,1520.01306836461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
11011448,1520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
19118758,1519.97795833014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
3256745,1519.95002805296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
1274798,1519.73951753557,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
8401053,1519.54894096342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
