"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","Lag"
16288992,2221.92893642949,364,63,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
114017,2221.73346607165,653,72,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520
2848604,2221.01521569989,158,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378
11234706,2218.79036474199,500,71,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
9323821,2216.1786331235,382,93,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
5477343,2215.7775053179,176,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
9340773,2214.83772997567,200,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
2917990,2212.69307643087,208,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
8150535,2210.5977687286,336,42,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
5154946,2209.65183021169,289,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
3213239,2208.56259267861,83,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20372
6973354,2206.12699456161,165,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26755
9211924,2205.20411045213,172,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605
14215850,2205.03913049627,78,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
139670,2204.37548926596,310,44,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
6667041,2202.6548430076,88,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9448
5242158,2202.30034485074,205,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042
7457788,2202.23948862614,279,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
14438574,2202.09670982949,269,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060
15392570,2201.8929849113,164,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
10157694,2201.58855830366,537,71,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
7537133,2201.33798635538,118,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144
1860489,2200.84715431138,118,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4032
4784772,2200.72995020972,432,83,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945
8509247,2199.84364445397,74,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13531
9683186,2197.10726214988,166,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
15293080,2196.7989223238,127,35,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295
13228917,2195.1539681081,170,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435
7989469,2195.03346697458,613,101,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
10509043,2194.42261955765,186,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
1775182,2191.8559100532,201,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
4458239,2190.55312236327,258,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
11967146,2190.50140537315,251,84,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
8151359,2190.38561264614,122,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
2504750,2189.84948625088,62,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574
16227745,2189.63875665009,565,82,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
14447878,2188.70349951317,696,107,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174
6399568,2188.56452065513,150,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
16768757,2182.75473072624,170,39,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911
7701428,2181.76397524008,241,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
8715276,2181.40327922964,174,38,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9160
6619303,2181.2055632346,101,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064
10092099,2180.70516354798,90,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32400
4830687,2178.78248201365,303,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180
10410603,2178.34067439767,154,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3768
11106929,2177.97364502651,115,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935
9265990,2177.79848433369,271,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
10170668,2177.56099876909,151,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
1433427,2177.04213454864,371,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
14518295,2175.07153047777,343,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
10592853,2174.97772955113,210,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718
11469447,2174.91093190124,90,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525
2012453,2174.1121514459,89,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
4733185,2173.84399778395,139,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443
12578000,2173.78026444481,240,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759
8443945,2173.09732658139,95,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
6404027,2172.60222839627,95,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18419
7178423,2168.6474946394,73,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443
7780605,2168.59623323104,219,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
13540434,2168.4988119137,67,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
7249261,2168.20270185542,299,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
8275006,2167.62618418659,104,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
14592820,2167.45960683062,250,40,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
11794209,2166.72943806506,107,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
10069909,2166.46018977266,95,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144
21196745,2165.14049830955,87,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505
1285637,2165.02402500781,144,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627
12530511,2164.63639507763,137,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384
12805967,2164.03165419967,302,39,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
9712285,2160.46292863641,92,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
9474976,2160.36489752979,169,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
9767342,2160.03805894558,112,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561
12537417,2158.65760541581,461,51,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
16817965,2158.50980395542,60,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096
6283858,2157.90297845097,223,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
8717773,2157.7435923639,112,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6756
15271985,2156.95873379062,244,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
6867478,2155.91863597965,290,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
7657831,2155.74210225256,105,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8544
14041375,2155.42946953768,82,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479
9993348,2154.411864014,211,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4549
12090610,2153.58027885988,474,56,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
8925266,2152.2208916166,95,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064
3674590,2150.464793405,275,63,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
11142471,2149.53818392306,153,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
9027651,2148.44383446696,294,60,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497
9364137,2147.2038402354,172,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911
10805852,2147.06983715074,96,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439
3139364,2146.5259227308,106,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4822
3493804,2146.48555287921,367,56,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
7374212,2145.73505227919,292,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
14398471,2144.9433123612,286,51,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
6111086,2142.91553164525,49,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355
12949657,2142.76178354292,172,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
14445724,2142.63027260267,94,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671
12130373,2141.75830431989,73,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4616
4316633,2141.40673841993,141,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
11557554,2140.36069314653,52,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574
15441612,2139.46270867527,1962,456,413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11189917,2139.44822349217,131,53,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502
4755314,2137.98253005423,324,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610
17847877,2137.42123632978,754,166,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
