"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","Lag"
12029304,1329.41969413043,10,1,3,0,0,0,0,37592
14984648,1329.39628753264,17,1,6,0,0,0,0,10106
17024023,1329.33772797634,6,0,0,0,0,0,0,9560
30282124,1329.32319343315,11,0,2,0,0,0,0,413
13888511,1329.31813020783,122,9,15,0,0,0,0,2357
14089698,1329.29347185606,10,0,0,0,0,0,0,114283
10608468,1329.29175661466,9,1,4,0,0,0,0,77287
16716753,1329.23233795238,56,2,3,0,0,0,0,8460
12301910,1329.23043542932,10,0,0,0,0,0,0,129981
24486933,1329.22850227129,9,0,0,0,0,0,0,90253
20577034,1329.21540795065,18,2,4,0,0,0,0,119348
12247710,1329.20032979264,9,0,0,0,0,0,0,26578
24265881,1329.1807034189,8,0,0,0,0,0,0,66133
4962739,1329.15450962447,9,1,0,0,0,0,0,105387
13302464,1329.1138147063,13,0,0,0,0,0,0,30817
18261690,1329.07992323548,14,0,0,0,0,0,0,89683
2042565,1329.06862348652,43,4,10,0,0,0,0,21919
19703950,1328.98645155075,9,0,0,0,0,0,0,3337
19534312,1328.91923157016,5,0,0,0,0,0,0,12238
24400359,1328.90950528721,14,0,3,0,0,0,0,2709
10924291,1328.88815739631,9,0,1,0,0,0,0,28957
18435912,1328.88721490733,9,1,4,0,0,0,0,95433
10515166,1328.88212414812,169,17,29,0,0,0,0,6074
7426260,1328.85397299152,15,0,1,0,0,0,0,71954
15484891,1328.82537825819,10,0,0,0,0,0,0,90709
13912364,1328.8130715973,14,0,1,0,0,0,0,18835
33096292,1328.80043235328,14,0,4,0,0,0,0,106813
24279105,1328.73847666799,20,3,2,0,0,0,0,4248
13602611,1328.71779800596,83,12,11,0,0,0,0,303
10734828,1328.71003440406,8,0,0,0,0,0,0,87265
15944870,1328.67712297402,32,10,12,0,0,0,0,49917
18549944,1328.67113663132,16,0,2,0,0,0,0,4979
3947242,1328.63961994876,10,0,0,0,0,0,0,27735
7149883,1328.63363513735,26,5,13,0,0,0,0,4376
4495820,1328.63216759102,14,0,0,0,0,0,0,83838
29396713,1328.63164841921,10,0,0,0,0,0,0,98525
14655101,1328.62515836816,10,0,0,0,0,0,0,87592
14966547,1328.6147617387,35,0,1,0,0,0,0,93606
31744237,1328.59752317373,25,1,2,0,0,0,0,19161
13993215,1328.59694773839,12,0,0,0,0,0,0,60448
20527782,1328.56147125326,18,1,0,0,0,0,0,84924
19947782,1328.53623217725,8,0,0,0,0,0,0,115871
20276009,1328.52039441257,162,15,38,0,0,0,0,41232
12965455,1328.50286056716,39,1,1,0,0,0,0,20
12432927,1328.44550681594,13,0,0,0,0,0,0,110447
10185836,1328.44077465256,27,3,8,0,0,0,0,1695
15383103,1328.42515372448,16,0,0,0,0,0,0,125909
9162649,1328.34703064674,10,0,0,0,0,0,0,2952
19346874,1328.31070872839,211,22,25,0,0,0,0,97
18201051,1328.28720955336,10,0,0,0,0,0,0,110784
14977177,1328.2277346659,12,0,2,0,0,0,0,12921
10691960,1328.14778868156,15,2,6,0,0,0,0,62595
13698489,1328.1470569266,50,2,1,0,0,0,0,272
20226426,1328.1148155398,8,0,0,0,0,0,0,51996
11273927,1328.0494630311,115,0,3,0,0,0,0,13516
15512616,1328.03218748633,26,0,3,0,0,0,0,62847
30560658,1327.9903310826,10,0,0,0,0,0,0,11925
11423080,1327.85925146651,14,0,0,0,0,0,0,19495
6418711,1327.85834807306,15,0,2,0,0,0,0,112990
9289420,1327.74830821696,27,3,5,0,0,0,0,26616
14455082,1327.70007661603,41,1,0,0,0,0,0,32138
33570317,1327.68966308275,8,0,1,0,0,0,0,85455
25399022,1327.67724843979,9,0,2,0,0,0,0,85182
8194992,1327.66338788745,89,5,14,0,0,0,0,78374
